Absorbance_and_Fluorescence,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
2022-05-27 15:45:35,,,,
,,,,
Assay was completed successfully.,,,,
,,,,
,,,,
Results,,,,
,,,,
Well,Sample,OD(590),Fluorescence (RFU),Fluorescence 1 (RFU)
A1,A1,0.045,4619,1350
A2,A2,0.045,4012,1103
A3,A3,0.046,4827,1420
A4,A4,0.046,4357,1317
A5,A5,0.047,4787,1458
A6,A6,0.046,4603,1614
A7,A7,0.046,4983,1466
A8,A8,0.048,4275,1143
A9,A9,0.047,4938,1361
A10,A10,0.046,5159,1395
A11,A11,0.047,4491,1250
A12,A12,0.046,4501,1180
B1,B1,0.047,4588,1280
B2,B2,0.072,132103,1392
B3,B3,0.313,322628,115579
B4,B4,0.647,574996,179167
B5,B5,0.771,793418,245674
B6,B6,0.784,834779,476528
B7,B7,0.776,849481,612588
B8,B8,0.78,843462,696420
B9,B9,0.777,843578,763937
B10,B10,0.768,813432,779578
B11,B11,0.486,156340,859985
B12,B12,0.038,4970,1236
C1,C1,0.046,4738,1321
C2,C2,0.073,133034,1491
C3,C3,0.776,749748,1939
C4,C4,0.762,812681,1970
C5,C5,0.755,808015,1913
C6,C6,0.756,817210,2040
C7,C7,0.734,832593,1997
C8,C8,0.733,822079,2304
C9,C9,0.692,815291,2098
C10,C10,0.722,776235,2070
C11,C11,0.498,68091,1225
C12,C12,0.038,4719,1362
D1,D1,0.047,4575,1383
D2,D2,0.136,290179,1583
D3,D3,0.362,512742,98404
D4,D4,0.622,662061,143717
D5,D5,0.789,852564,188403
D6,D6,0.83,929190,389334
D7,D7,0.831,945240,420054
D8,D8,0.828,948042,672698
D9,D9,0.836,948925,718547
D10,D10,0.85,917499,734650
D11,D11,0.562,126455,892160
D12,D12,0.042,5333,1344
E1,E1,0.048,4620,1257
E2,E2,0.151,328906,1628
E3,E3,0.835,913952,1989
E4,E4,0.844,927546,2003
E5,E5,0.858,954205,2336
E6,E6,0.859,977603,2367
E7,E7,0.861,993467,2506
E8,E8,0.833,949916,2563
E9,E9,0.831,920203,2247
E10,E10,0.802,885878,2197
E11,E11,0.524,78351,1108
E12,E12,0.038,5137,1344
F1,F1,0.047,4683,1376
F2,F2,0.324,727957,1895
F3,F3,0.527,857492,74046
F4,F4,0.821,1006559,108141
F5,F5,0.992,1109925,148517
F6,F6,1.013,1188300,309831
F7,F7,1.011,1163741,469091
F8,F8,1.01,1166755,601959
F9,F9,1.038,1166835,600217
F10,F10,1.059,1158282,584027
F11,F11,0.528,112080,874735
F12,F12,0.041,4693,1269
G1,G1,0.045,4637,1365
G2,G2,0.324,760283,1990
G3,G3,1.038,1151949,2708
G4,G4,1.052,1169038,2852
G5,G5,1.042,1222128,3238
G6,G6,1.062,1236029,3051
G7,G7,1.051,1166320,2751
G8,G8,1.054,1196789,2883
G9,G9,1.051,1173229,2806
G10,G10,1.035,1106837,2531
G11,G11,0.535,77738,1140
G12,G12,0.04,5376,1489
H1,H1,0.05,4785,1455
H2,H2,0.048,4715,1329
H3,H3,0.049,4845,1228
H4,H4,0.046,5534,1515
H5,H5,0.047,4711,1367
H6,H6,0.047,5004,1402
H7,H7,0.047,5880,1628
H8,H8,0.047,4668,1365
H9,H9,0.048,5538,1531
H10,H10,0.053,5133,1434
H11,H11,0.047,4910,1522
H12,H12,0.048,5251,1501
