wavelength,A3,A4,A5,A6,A7,A8
351,0.3628,2.597,1.0876,0.4247,0.2189,0.2616
352,0.3621,2.5351,1.0819,0.4239,0.2189,0.2613
353,0.3633,2.548,1.0949,0.4239,0.2199,0.2623
354,0.3643,2.5826,1.1069,0.4245,0.2212,0.2637
355,0.3658,2.5676,1.0907,0.4255,0.2215,0.2645
356,0.3681,2.6101,1.0638,0.426,0.2218,0.2647
357,0.3694,2.598,1.0633,0.4262,0.2215,0.2644
358,0.3705,2.5753,1.0778,0.4265,0.221,0.2635
359,0.3716,2.5931,1.0812,0.4266,0.2191,0.2616
360,0.3725,2.6202,1.065,0.4265,0.2193,0.2619
361,0.3733,2.6459,1.0527,0.4262,0.2174,0.2596
362,0.3744,2.6438,1.0572,0.4257,0.2159,0.2578
363,0.3748,2.6178,1.0629,0.4251,0.2146,0.2561
364,0.3764,2.6031,1.0592,0.4239,0.212,0.2536
365,0.3775,2.6347,1.0517,0.4231,0.21,0.2516
366,0.3784,2.5943,1.0449,0.4222,0.2083,0.2498
367,0.3804,2.6093,1.0396,0.4206,0.2044,0.2452
368,0.3826,2.5935,1.0382,0.4189,0.2007,0.2413
369,0.3844,2.632,1.0387,0.4175,0.1972,0.2375
370,0.386,2.5675,1.0352,0.4167,0.1942,0.234
371,0.388,2.5998,1.0308,0.4153,0.1904,0.2295
372,0.3893,2.5765,1.0257,0.4141,0.1868,0.2256
373,0.3912,2.5843,1.0213,0.4131,0.1824,0.2205
374,0.3922,2.5661,1.0198,0.4118,0.1783,0.216
375,0.3932,2.5707,1.0158,0.4112,0.1746,0.2119
376,0.394,2.5598,1.0078,0.4094,0.1695,0.2054
377,0.395,2.561,1.0043,0.4082,0.1657,0.2009
378,0.3953,2.5303,1.0025,0.4071,0.1611,0.1958
379,0.3955,2.5595,1.0005,0.4057,0.1561,0.19
380,0.3952,2.4682,0.9976,0.4037,0.1506,0.1835
381,0.3957,2.5284,0.9906,0.4022,0.144,0.1764
382,0.3957,2.4662,0.9837,0.4003,0.1377,0.1692
383,0.3961,2.5024,0.9814,0.3995,0.1331,0.1643
384,0.3964,2.5275,0.9793,0.3978,0.1279,0.1578
385,0.3969,2.463,0.9735,0.3955,0.1206,0.1501
386,0.3971,2.4581,0.969,0.3946,0.1176,0.1465
387,0.3979,2.4162,0.9664,0.3931,0.1111,0.1397
388,0.3988,2.4267,0.9609,0.392,0.1058,0.1335
389,0.3995,2.4235,0.9587,0.3912,0.1026,0.1298
390,0.4007,2.4095,0.9553,0.3902,0.0979,0.1248
391,0.4017,2.4132,0.9535,0.3898,0.0941,0.1206
392,0.4023,2.3781,0.9514,0.3893,0.0914,0.1179
