wavelength,E3,E4,E5,E6,E7,E8
351,0.2373,0.4084,1.0853,0.3069,1.0113,1.4087
352,0.2373,0.4134,1.1375,0.3068,1.0119,1.4076
353,0.2376,0.4202,1.1528,0.3063,1.0179,1.4145
354,0.2387,0.4237,1.1105,0.3067,1.0273,1.4277
355,0.2391,0.4219,1.0658,0.3068,1.0309,1.4318
356,0.2405,0.4206,1.0654,0.3069,1.0351,1.439
357,0.2412,0.4194,1.094,0.3068,1.0343,1.4356
358,0.2417,0.4176,1.1047,0.3067,1.0307,1.4312
359,0.2425,0.4123,1.0801,0.3059,1.0228,1.4214
360,0.2427,0.4093,1.0538,0.3058,1.0226,1.4188
361,0.2435,0.4111,1.0617,0.3052,1.0132,1.4082
362,0.2442,0.4138,1.0848,0.3053,1.0055,1.3987
363,0.2443,0.415,1.0866,0.3043,0.9969,1.3896
364,0.2452,0.4141,1.0646,0.3034,0.9842,1.3701
365,0.2457,0.4129,1.0443,0.303,0.9743,1.3585
366,0.2463,0.4095,1.0446,0.3026,0.9628,1.3435
367,0.2473,0.4059,1.0529,0.3019,0.9393,1.3168
368,0.2486,0.4017,1.0517,0.3009,0.9176,1.2899
369,0.2498,0.3988,1.0387,0.3002,0.899,1.268
370,0.2506,0.3962,1.026,0.2994,0.8795,1.2422
371,0.2518,0.3944,1.0263,0.2987,0.8552,1.2176
372,0.2525,0.3927,1.0325,0.2978,0.8363,1.1936
373,0.2535,0.391,1.0282,0.2966,0.8104,1.1621
374,0.2542,0.3902,1.0155,0.2952,0.7854,1.1302
375,0.2549,0.3909,1.0059,0.2946,0.7648,1.1022
376,0.2556,0.4004,1.004,0.2933,0.7327,1.0685
377,0.2556,0.4134,1.006,0.2926,0.7095,1.038
378,0.2558,0.4231,1.0053,0.2916,0.6842,1.0074
379,0.2565,0.429,0.9989,0.291,0.6561,0.9714
380,0.2565,0.4242,0.9913,0.2895,0.6226,0.931
381,0.2565,0.4247,0.9863,0.2881,0.5848,0.8857
382,0.2568,0.4207,0.9862,0.2867,0.5481,0.8401
383,0.2564,0.4194,0.9839,0.2855,0.5242,0.8092
384,0.2563,0.4181,0.9772,0.2843,0.4936,0.774
385,0.2569,0.4083,0.9696,0.2828,0.4515,0.7219
