smiles,number_of_atoms,charge,multiplicity,dipole,molar_mass,molar_volume,electronic_spatial_extent,E_scf,zero_point_correction,E_thermal_correction,H_thermal_correction,G_thermal_correction,E_zpe,E,H,G,stoichiometry,converged,homo_energy,lumo_energy,electronegativity,hardness,ES_root_dipole,ES_root_molar_volume,ES_root_electronic_spatial_extent,ES_transition_1,ES_transition_2,ES_transition_3,ES_transition_4,ES_transition_5,ES_transition_6,ES_transition_7,ES_transition_8,ES_transition_9,ES_transition_10,ES_osc_strength_1,ES_osc_strength_2,ES_osc_strength_3,ES_osc_strength_4,ES_osc_strength_5,ES_osc_strength_6,ES_osc_strength_7,ES_osc_strength_8,ES_osc_strength_9,ES_osc_strength_10
C1=CC(=CC=C1C)C,18,0,1,0.1281,106.167,1109.618,1063.7089,-310.9086945,0.154849,0.162119,0.163063,0.122118,-310.754975,-310.747706,-310.746762,-310.787707,C8H10,1,-0.2349,-0.01195,0.123425,0.111475,0.0028,1047.104,1078.8028,241.21,216.34,213.1,203.25,198.9,196.98,192.09,188.35,188.04,187.01,0.004,0.0556,0,0,0,0,0.3604,0,0,0.629
C1COc2cscc2OC1,18,0,1,2.0766,156.199,1176.423,1581.8397,-820.1739894,0.140759,0.148989,0.149933,0.107476,-820.037026,-820.028797,-820.027853,-820.070309,C7H8O2S,1,-0.22465,-0.01673,0.12069,0.10396,4.2262,1352.886,1617.4102,241.2,232.76,231,229.54,228.17,226.45,212.79,211.65,208.19,207.53,0.1335,0.0306,0.0161,0.0277,0.0455,0.0135,0.0085,0.0043,0.0029,0.0175
CC5SC(c3ccc(C1SC(C)C2OCCOC12)c4nsnc34)C6OCCOC56,53,0,1,4.5975,452.6006,3196.952,16931.8825,-2381.53033,0.424462,0.450786,0.451731,0.363566,-2381.12147,-2381.095145,-2381.094201,-2381.182366,C20H24N2O4S3,1,-0.226,-0.09772,0.16186,0.06414,9.4042,3436.723,17197.4728,427.31,407.86,350.85,313.92,309.54,295.04,280.29,276.4,270.31,257.27,0.0217,0.0058,0.0903,0.0056,0.0014,0.0056,0.1542,0.0013,0.0009,0.0232
COc1cc([C])c(OC)cc1[C],20,0,1,0.0001,160.172,1281.988,2153.1736,-535.9405002,0.147086,0.158459,0.159403,0.110333,-535.876921,-535.865548,-535.864604,-535.913674,C10H8O2,1,-0.21875,-0.11364,0.166195,0.052555,6.0185,1184.868,2161.5656,769.29,600.13,428.18,378.42,340.98,305.38,297.06,291.68,287.75,276.05,0,0.0005,0,0.0048,0.0101,0.1363,0.334,0.017,0.0216,0.0027
Cc1[se]c(C)c2OCCOc12,21,0,1,1.3457,217.1258,1446.517,2309.8013,-2860.676965,0.166321,0.177455,0.178399,0.128862,-2860.563354,-2860.55222,-2860.551276,-2860.600813,C8H10O2Se,1,-0.20467,-0.01434,0.109505,0.095165,7.0816,1209.814,2287.259,283.79,275.07,259.43,257.48,256.73,249.32,237.67,232.28,231.36,227.3,0,0.0001,0.0347,0.1225,0.1314,0.0063,0.0192,0.0025,0.0191,0.0012
Cc1cc2ccc3cc(C)cc4ccc(c1)c2c34,32,0,1,0,230.3086,2137.223,4577.1875,-694.4419562,0.261108,0.275174,0.276118,0.218477,-694.18818,-694.174114,-694.17317,-694.230811,C18H14,1,-0.20252,-0.06379,0.133155,0.069365,0.0006,1870.07,4638.8661,342.72,340.43,289.22,276.93,272.85,254.15,247.54,247.22,238.97,236.27,0.2824,0.004,0,0.2527,0,0,0,0,1.1148,0.0001
Cc1ccc(C)c2nc(C)c(C)nc12,28,0,1,0.7383,186.256,1654.594,2853.7111,-575.2735782,0.233405,0.246803,0.247747,0.194199,-575.04898,-575.035583,-575.034639,-575.088186,C12H14N2,1,-0.22907,-0.06738,0.148225,0.080845,2.0018,1421.004,2876.8213,339.05,324.9,289.38,260.52,240.94,233.88,219.35,217.65,211.8,209.12,0.0019,0.0422,0.06,0,0,0.7396,0,0.0274,0,0.0012
Cc1ccc(C)c2nsnc12,19,0,1,2.1775,164.2246,1456.679,1902.7653,-817.3751051,0.14542,0.154997,0.155941,0.110512,-817.238255,-817.228677,-817.227733,-817.273163,C8H8N2S,1,-0.23565,-0.09115,0.1634,0.07225,5.5967,1687.898,1867.4301,361.03,276.77,270.85,241.61,226.03,218.74,215.91,211.56,205.96,203.63,0.0612,0.1798,0,0.0004,0.0014,0,0.0682,0.3508,0,0
Cc1ccc(C)s1,15,0,1,0.2459,112.1892,990.378,926.2623,-631.6586356,0.122005,0.129567,0.130511,0.090065,-631.539394,-631.531832,-631.530888,-631.571334,C6H8S,1,-0.22048,-0.01778,0.11913,0.10135,1.2194,911.147,956.0061,239.73,238.31,230.73,221.01,213.36,211.93,208.65,201.86,197.61,190.76,0.1603,0.0003,0,0.0786,0.0002,0,0,0.0003,0,0
Cc1sc(C)c(CCCCCCCC)c1CCCCCCCC,63,0,1,0.7788,336.618,3429.429,16656.2315,-1260.72091,0.576109,0.605691,0.606635,0.509821,-1260.15158,-1260.121998,-1260.121054,-1260.217868,C22H40S,1,-0.20843,-0.01273,0.11058,0.09785,2.4957,3053.029,16880.5392,254.23,250.6,243.07,236.12,233.46,232.53,230.19,224.16,223,219.75,0.0303,0.0014,0.0763,0.0094,0.0171,0.0602,0.0472,0.0008,0.0069,0.0137
